,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,3850.989031,8.674781,8.668000,0.000000,39156.820281,1308.283328,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,2163.567125,7.857641,12.247641,3.122844,0.000000,4.174672,20291.667125,255.734219,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1559.239406,12.241031,3.027797,3.523594,0.000000,3.444187,15048.013797,106.800469,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_5_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,5306.379703,6.530641,55101.799063,3213.035156,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,4487.500797,5.972406,5.427828,0.000000,40682.505656,1096.680047,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,3844.477953,8.240125,8.188219,0.000000,37663.946422,1148.162875,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,4156.461859,8.184594,9.649859,0.000000,38890.669344,1120.791703,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,2368.002562,9.775422,5.778531,5.089437,0.000000,5.558641,20137.105062,190.289031,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1709.989437,12.540344,3.086125,3.372937,0.000000,3.326719,14939.229859,95.987188,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_5_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,12183.756625,14.878453,48644.034984,8331.608437,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,10276.211703,14.523312,12.866437,0.000000,35417.479641,2924.503438,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,8784.357219,13.849562,25.475375,0.000000,33123.850844,2983.475516,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,9487.524625,19.204672,22.099078,0.000000,34185.797063,2985.694000,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,5394.638563,18.700312,9.668078,10.067094,0.000000,11.284656,17896.010469,545.612813,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,3968.173875,11.704656,7.643281,6.951719,0.000000,6.286453,13245.551547,198.063781,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_5_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,5610.808875,7.089406,54816.610063,2876.151156,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,4820.600500,8.062578,6.034625,0.000000,40382.239391,903.770422,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,4129.679812,7.251625,8.806688,0.000000,37407.818109,970.587125,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,4394.975719,6.903844,11.387750,0.001313,38680.728687,965.403078,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,2505.479469,8.268656,13.115609,6.430187,0.000000,4.805172,20032.523750,172.600641,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1806.180984,12.649313,3.235516,3.056859,0.000000,3.980047,14875.960203,83.224594,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_6_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,6087.870250,6.578656,54375.409063,2420.660719,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,5151.138797,6.975828,6.249516,0.000000,40085.796656,708.444344,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,4343.380422,13.659437,9.255031,0.000000,37206.778188,816.884828,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,4765.629203,8.433109,8.487172,0.000000,38362.660625,741.570187,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,2717.316516,8.223094,5.504375,4.811484,0.000000,4.679859,19879.040437,114.764984,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1989.558453,5.147969,3.672578,4.085422,0.000000,4.309203,14739.276609,61.953141,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_6_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,13067.866250,16.645203,47819.650609,7434.211438,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,11021.249953,18.173797,18.570016,0.000000,34738.708594,2493.161516,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,9421.374813,19.113953,19.612078,0.000000,32548.347656,2589.255813,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,10176.777766,18.680594,24.818109,0.000000,33584.391078,2527.375844,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,5787.726188,16.588562,12.204609,12.795281,0.000000,14.901703,17595.474406,438.325984,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,4259.448578,12.005047,7.858047,9.406422,0.000000,7.701156,13030.013297,165.218250,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_6_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,6482.551891,8.119891,54008.116375,2021.683906,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,5484.143234,8.491234,9.012766,0.000000,39783.392234,523.688297,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,4693.498656,8.418859,8.021672,0.000000,36898.184406,623.653063,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,5072.043937,9.110578,10.601313,0.000000,38095.277828,554.493297,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,2889.758453,8.980141,6.607563,6.668969,0.000000,4.739859,19749.478906,67.160094,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2086.985187,13.685172,3.985734,3.788703,0.000000,3.587859,14662.833828,48.964891,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,25809.938469,53.753828,35790.873578,23097.351687,19.432781,0.895448,0.895448,19.432781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,21685.276906,56.337156,52.637266,0.000000,24946.533500,10154.136516,33.419839,3.442400,0.335065,0.335065,3.442400,33.419839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,18544.807500,65.822625,54.084609,0.000000,24080.280922,8985.665766,28.631552,2.952477,0.447438,0.447438,2.952477,28.631552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,20017.919656,58.372953,80.304625,0.000000,24802.940094,11446.997422,48.439615,3.715953,0.432589,0.432589,3.715953,48.439615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,11337.946859,46.515719,29.684422,22.472687,0.000000,30.889031,13343.524297,1670.603234,21.172750,7.178487,1.803768,0.418458,0.418458,1.803768,7.178487,21.172750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,8337.337938,26.882672,20.876844,24.788484,0.000000,27.625375,9898.448547,1024.585422,20.202995,8.557906,1.460016,0.238792,0.238792,1.460016,8.557906,20.202995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_1_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,7855.803516,13.331266,52716.336031,6228.682375,4.859313,0.224865,0.224865,4.859313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,6638.149578,15.691906,12.453750,0.000000,38725.143578,2256.682031,8.355979,0.861622,0.084863,0.084863,0.861622,8.355979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,5591.590969,19.332641,17.660453,0.000000,36054.957625,2299.926266,7.158958,0.739164,0.113038,0.113038,0.739164,7.158958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,6041.955453,27.829359,17.543703,0.003500,37213.638125,2337.324828,12.110193,0.929562,0.109010,0.109010,0.929562,12.110193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,3451.658219,7.767500,16.296187,5.930141,0.000000,8.045391,19322.553437,486.981391,5.293750,1.795456,0.451966,0.105708,0.105708,0.451966,1.795456,5.293750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2498.226125,19.756438,5.681953,5.473297,0.006891,7.070000,14344.389531,193.561922,5.051073,2.139922,0.365391,0.060312,0.060312,0.365391,2.139922,5.051073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_1_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,29135.678656,58.028094,32672.880703,32322.883312,21.861750,1.007323,1.007323,21.861750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,24481.026063,56.978672,56.063250,0.000000,22410.090219,14442.532672,37.597328,3.872462,0.376956,0.376956,3.872462,37.597328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,20939.573734,75.517078,59.364922,0.000000,21885.214719,13219.896000,32.210578,3.321318,0.503366,0.503366,3.321318,32.210578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,22602.513266,63.793906,70.190141,0.000000,22537.715625,16714.150406,54.494318,4.180401,0.486677,0.486677,4.180401,54.494318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,12867.359078,75.263625,32.531484,29.918031,0.052406,37.258969,12263.039781,3596.609453,23.818969,8.076010,2.029141,0.470760,0.470760,2.029141,8.076010,23.818969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,9426.936359,38.804219,24.578141,26.556422,0.000000,29.255578,9128.994266,2960.538250,22.728031,9.627865,1.642547,0.268729,0.268729,1.642547,9.627865,22.728031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_1_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,14303.360266,24.721578,46657.467094,18698.106812,9.717187,0.448427,0.448427,9.717187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,12059.489328,27.288906,22.533797,0.000000,33783.294719,8024.966500,16.710573,1.721852,0.168339,0.168339,1.721852,16.710573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,10313.460266,29.344406,34.596422,0.000000,31710.761687,7138.837922,14.316490,1.476940,0.224543,0.224543,1.476940,14.316490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,11135.534922,20.968797,25.952000,0.000000,32740.373172,9177.856438,24.219911,1.858240,0.216870,0.216870,1.858240,24.219911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,6243.655672,17.205172,32.385719,16.088344,0.014969,15.957453,17264.597672,1631.419781,10.586750,3.589813,0.902458,0.209990,0.209990,0.902458,3.589813,10.586750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,4600.851156,53.449266,10.134937,8.826187,0.000000,10.452172,12742.637453,1002.381281,10.101839,4.279417,0.730328,0.119854,0.119854,0.730328,4.279417,10.101839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_2_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,15870.143938,25.787500,45193.380500,17103.529813,9.717187,0.448427,0.448427,9.717187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,13377.732484,29.063078,23.377297,0.000000,32592.986984,6481.678734,16.710573,1.721852,0.168339,0.168339,1.721852,16.710573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,11442.442563,34.971812,36.368750,0.000000,30677.180313,6429.380516,14.316490,1.476940,0.224543,0.224543,1.476940,14.316490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,12353.123359,33.541266,40.083688,0.000000,31650.342625,8350.006375,24.219911,1.858240,0.216870,0.216870,1.858240,24.219911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,7026.462641,19.470953,17.815719,10.529891,0.000000,12.358203,16697.626563,1352.935609,10.586750,3.589813,0.902458,0.209990,0.209990,0.902458,3.589813,10.586750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,5179.051359,18.520437,10.484922,13.885891,0.000000,9.379156,12341.110875,756.781281,10.101839,4.279417,0.730328,0.119854,0.119854,0.730328,4.279417,10.101839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_2_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,32667.804484,58.268563,29380.787875,28739.162437,21.861750,1.007323,1.007323,21.861750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,27455.829234,67.919250,58.357625,0.000000,19722.956906,12712.960641,37.597328,3.872462,0.376956,0.376956,3.872462,37.597328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,23486.430703,62.233297,77.196250,0.000000,19573.132344,11625.459875,32.210578,3.321318,0.503366,0.503366,3.321318,32.210578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,25350.043047,107.387969,90.846484,0.000000,20082.873656,14441.624203,54.494318,4.180401,0.486677,0.486677,4.180401,54.494318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,14502.377359,41.710813,37.368281,34.367250,0.000000,36.782500,11113.175078,2581.333922,23.818969,8.076010,2.029141,0.470760,0.470760,2.029141,8.076010,23.818969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
