,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,29343.077000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,21045.864000,0.000000,26758.441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_3_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,73762.110000,0.000000,110980.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,60337.330000,0.000000,79998.355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,52017.249000,0.000000,68943.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,55101.264000,0.000000,75563.897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,29344.495000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,21048.116000,0.000000,26758.441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_3_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,73878.602000,0.000000,110980.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,60401.541000,0.000000,79998.355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,52103.459000,0.000000,68943.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,55142.136000,0.000000,75563.897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,29364.020000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,21060.759000,0.000000,26758.441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_3_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,73779.052000,0.000000,110980.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,60352.058000,0.000000,79998.355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,52025.545000,0.000000,68943.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,55108.539000,0.000000,75563.897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,29352.488000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,21056.943000,0.000000,26758.441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,75041.062000,0.000000,110980.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,61016.419000,0.000000,79998.355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,52633.179000,0.000000,68943.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,55360.204000,0.000000,75563.897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,29451.502000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,21162.262000,0.000000,26758.441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
