,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,174533.188000,0.000000,2944006.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,311459.426000,0.000000,1764850.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,6224982.490000,0.000000,9537096.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,462754.092000,0.000000,1722272.518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,487124.765000,0.000000,1451207.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,602162.421000,0.000000,2558354.119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,172378.873000,0.000000,2944006.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,313882.829000,0.000000,1764850.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,6230396.633000,0.000000,9537096.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,463468.475000,0.000000,1722272.518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
